,theme,accuracy,auc,val_accuracy,val_auc
103,rebellion,0.9969493746757507,0.5800909996032715,0.9965682625770569,0.5
104,reading,0.976052463054657,0.6927371025085449,0.982841432094574,0.7438966631889343
105,clothing,0.9956528544425964,0.7897551655769348,0.995881974697113,0.5590397715568542
106,innocence,0.9988560080528259,0.5554478168487549,0.995881974697113,0.5
107,halloween,0.9969493746757507,0.5530064105987549,0.9979409575462341,0.6350297927856445
108,mythology,0.9649938941001892,0.6080308556556702,0.9656829237937927,0.656410813331604
109,theater & dance,0.9942038059234619,0.5360403656959534,0.9931365847587585,0.6530752778053284
110,vanity,0.9997711777687073,0.8186360001564026,1.0,0.0
111,humor,0.982230007648468,0.6356666088104248,0.9794097542762756,0.7737794518470764
112,for mom,0.9990848302841187,0.6587627530097961,0.9993136525154114,0.5
113,religion,0.9306741952896118,0.8525808453559875,0.9347975254058838,0.8070301413536072
114,september 11,0.9995424151420593,0.6237474679946899,1.0,0.0
115,birth,0.997101902961731,0.5557242631912231,0.9972546100616455,0.5815553665161133
116,pacifism,0.9986271858215332,0.4991641938686371,1.0,0.0
117,money,0.9761287569999695,0.5802797079086304,0.9711736440658569,0.6917718052864075
118,regret,0.9991610646247864,0.6557618379592896,0.9965682625770569,0.5
119,weather,0.9826875925064087,0.9059522747993469,0.9842141270637512,0.7589139938354492
120,writing,0.9970256090164185,0.5565307140350342,0.9965682625770569,0.8918044567108154
121,turmoil,0.9976357817649841,0.6496790647506714,0.9986273050308228,0.4996563494205475
122,hope,0.9932885766029358,0.6374171376228333,0.9938229322433472,0.6292587518692017
123,happiness,0.9959579110145569,0.6252833604812622,0.995881974697113,0.5654146075248718
124,chanukah,0.9996949434280396,0.5348451733589172,1.0,0.0
125,sex,0.9972544312477112,0.6092342138290405,0.9938229322433472,0.49965471029281616
126,work,0.974298357963562,0.8350541591644287,0.9746053814888,0.6645127534866333
127,nostalgia,0.9971781373023987,0.5904873609542847,0.9965682625770569,0.49793389439582825
128,sports,0.999618649482727,0.5040436387062073,0.9993136525154114,0.5
129,juneteenth,0.9979408383369446,0.5060770511627197,0.9965682625770569,0.582988977432251
130,space,0.9983221292495728,0.5507100820541382,0.9993136525154114,0.5
131,social justice,0.9940512776374817,0.4715498089790344,0.9917638897895813,0.5
132,martin luther king jr. day,0.9994661211967468,0.4744100272655487,0.9993136525154114,0.5
133,slavery,0.9983984231948853,0.6549410223960876,0.9993136525154114,0.49862638115882874
134,inaugural,0.9998474717140198,0.5491037368774414,0.9993136525154114,0.5
135,thought,0.9951952695846558,0.608729898929596,0.9951956272125244,0.6101477742195129
136,national parks,0.9993135929107666,0.773749828338623,0.9986273050308228,0.5
137,travel,0.998474657535553,0.611487865447998,0.9986273050308228,0.4996563494205475
138,jealousy,0.9993135929107666,0.6303983330726624,0.9993136525154114,0.5
139,technology,0.9990085363388062,0.5450533628463745,1.0,0.0
140,living,0.7259762287139893,0.7928422689437866,0.638984203338623,0.5464360117912292
141,time & brevity,0.9241915941238403,0.6675840020179749,0.9313658475875854,0.6264517307281494
142,relationships,0.833053708076477,0.7358919978141785,0.7995882034301758,0.6312371492385864
143,activities,0.9069554805755615,0.8502038717269897,0.8840082287788391,0.6508026123046875
144,the mind,0.9448596835136414,0.7755706310272217,0.9306795001029968,0.6724458932876587
145,philosophy,0.9623245596885681,0.5955250263214111,0.9691146016120911,0.48460814356803894
146,life,0.924649178981781,0.7252175211906433,0.9045984745025635,0.6202739477157593
147,social commentaries,0.8229866027832031,0.8383817672729492,0.7844886779785156,0.6877447366714478
148,related audio,0.9206833243370056,0.7780024409294128,0.9176389575004578,0.5269165635108948
149,verse forms,0.9957290887832642,0.5260717272758484,0.9986273050308228,0.5
150,ghazal,0.9987034797668457,0.6944859623908997,0.9986273050308228,0.5
151,race & ethnicity,0.9636211395263672,0.8836100101470947,0.961564838886261,0.7702255845069885
152,disappointment & failure,0.9769676923751831,0.7143325805664062,0.9814687967300415,0.6431235671043396
153,realistic & complicated,0.9693410396575928,0.7623082399368286,0.9691146016120911,0.7466320395469666
154,suitable for children,0.9883313179016113,0.7847904562950134,0.9876458644866943,0.7484557032585144
155,suitable for teens,0.9929072856903076,0.5114893913269043,0.9945092797279358,0.5
156,travels & journeys,0.9574435353279114,0.6575714349746704,0.9485243558883667,0.7351905107498169
157,class,0.982611358165741,0.5105888843536377,0.9773507118225098,0.5
158,poetry & poets,0.9506558775901794,0.8212316632270813,0.9409745931625366,0.7922545671463013
159,photography & film,0.9945088624954224,0.616789698600769,0.9938229322433472,0.6341696977615356
160,horror,0.9967968463897705,0.6312629580497742,0.9979409575462341,0.7678817510604858
161,"stars, planets, heavens",0.9882550239562988,0.8431626558303833,0.9842141270637512,0.6991995573043823
162,villanelle,0.9977120161056519,0.5842620730400085,0.9979409575462341,0.4996561110019684
163,techniques,0.9918395280838013,0.8738411664962769,0.988332211971283,0.5248366594314575
164,persona,0.9950426816940308,0.5742776393890381,0.9945092797279358,0.70915287733078
165,stanza forms,0.9877211451530457,0.6276893615722656,0.9876458644866943,0.5813643932342529
166,couplet,0.9699512124061584,0.7051184177398682,0.9601922035217285,0.7035320997238159
167,anaphora,0.9970256090164185,0.6403607726097107,0.9945092797279358,0.5597826242446899
168,types/modes,0.9930598139762878,0.5610129833221436,0.9945092797279358,0.7441338896751404
169,epistle,0.9964154958724976,0.8692715764045715,0.9986273050308228,0.49690720438957214
170,sonnet,0.9759762287139893,0.8096306920051575,0.978723406791687,0.8316316604614258
171,concrete or pattern poetry,0.9990848302841187,0.6366379261016846,0.9993136525154114,0.5
172,dramatic monologue,0.993441104888916,0.6542744636535645,0.9931365847587585,0.7979267239570618
173,quatrain,0.9922208786010742,0.5606825351715088,0.9924502372741699,0.5
174,simile,0.9964154958724976,0.5694368481636047,0.9972546100616455,0.5925670862197876
175,elegy,0.9912294149398804,0.569442093372345,0.9910775423049927,0.731754720211029
176,prose poem,0.9997711777687073,0.6302540898323059,1.0,0.0
177,tercet,0.9933648705482483,0.5717055797576904,0.9931365847587585,0.6930545568466187
178,ode,0.9965680241584778,0.6027117371559143,0.995881974697113,0.8199517130851746
179,metaphor,0.9875686168670654,0.6946849822998047,0.9821550846099854,0.5548701882362366
180,related video,0.9980170726776123,0.521942138671875,0.9986273050308228,0.5
181,free verse,0.8325961232185364,0.8320308923721313,0.80507892370224,0.6237362027168274
182,refrain,0.9945088624954224,0.7788137793540955,0.9938229322433472,0.5255140662193298
183,blank verse,0.990543007850647,0.4803829491138458,0.9917638897895813,0.5
184,rhymed stanza,0.945698618888855,0.7249186038970947,0.9354838728904724,0.8203079700469971
185,haiku,0.9997711777687073,0.7016553282737732,0.9986273050308228,0.484879732131958
186,ekphrasis,0.9958816170692444,0.5167557001113892,0.995881974697113,0.7747530937194824
187,meters,0.9720866084098816,0.7909972667694092,0.9704872965812683,0.623145580291748
188,series/sequence,0.9865009188652039,0.706153392791748,0.9842141270637512,0.7875204086303711
189,pantoum,0.9992373585700989,0.5341741442680359,0.9993136525154114,0.5
190,epigraph,0.9938986897468567,0.6135459542274475,0.9910775423049927,0.5342798233032227
191,sestina,0.9991610646247864,0.5194849967956543,0.9993136525154114,0.838598906993866
192,assonance,0.9989323019981384,0.6059649586677551,0.9993136525154114,0.5
193,alliteration,0.9971781373023987,0.5496119260787964,0.9986273050308228,0.2659793794155121
194,syllabic,0.9977883100509644,0.5332637429237366,0.995881974697113,0.5
195,ars poetica,0.9989323019981384,0.5044281482696533,0.9979409575462341,0.5
196,visual poetry,0.9993898868560791,0.5181910395622253,1.0,0.0
197,imagery,0.985890805721283,0.533054530620575,0.9842141270637512,0.5
198,mixed,0.9959579110145569,0.5195888876914978,0.9938229322433472,0.6701197624206543
199,common measure,0.9961104393005371,0.5776793360710144,0.9972546100616455,0.8403303623199463
200,ballad,0.9955003261566162,0.7887497544288635,0.9979409575462341,0.658872127532959
201,epigram,0.9990848302841187,0.5272136926651001,0.9986273050308228,0.5
202,allusion,0.9910768866539001,0.5986063480377197,0.9924502372741699,0.6623600721359253
203,ottava rima,0.9998474717140198,0.8818458914756775,0.9993136525154114,0.5
204,terza rima,0.9993898868560791,0.5648275017738342,1.0,0.0
205,consonance,0.9987797141075134,0.6996100544929504,0.9993136525154114,0.5
206,epic,0.9977883100509644,0.6672346591949463,0.9979409575462341,0.6594452261924744
207,nursery rhymes,0.9992373585700989,0.4845137894153595,0.9993136525154114,0.5
208,aphorism,0.9996949434280396,0.6090841889381409,0.9986273050308228,0.47422680258750916
209,symbolist,0.9990848302841187,0.5020229816436768,1.0,0.0
210,epithalamion,0.9996949434280396,0.605536699295044,1.0,0.0
211,imagist,0.9990085363388062,0.5989506244659424,1.0,0.0
